Latitude,Longitude,NDVI
37.75,98.75,0.17052499949932098
37.75,99.25,0.1991499960422516
37.75,99.75,0.20047399401664734
37.75,100.25,0.20954298973083496
37.75,100.75,0.19776798784732819
37.75,101.25,0.19242998957633972
37.75,101.75,0.1850079894065857
37.75,102.25,0.18635499477386475
37.75,102.75,0.15211500227451324
37.75,103.25,0.127034991979599
37.75,103.75,0.10247799754142761
37.75,104.25,0.09827999770641327
37.75,104.75,0.09444800019264221
37.75,105.25,0.10638699680566788
37.75,105.75,0.10642199963331223
37.75,106.25,0.12587399780750275
37.75,106.75,0.11276999861001968
37.75,107.25,0.12825000286102295
37.75,107.75,0.13331100344657898
37.75,108.25,0.13933499157428741
37.75,108.75,0.1527400016784668
37.75,109.25,0.1539599895477295
37.75,109.75,0.16925299167633057
37.75,110.25,0.17655499279499054
37.75,110.75,0.17004099488258362
37.75,111.25,0.24064698815345764
37.75,111.75,0.3383359909057617
37.75,112.25,0.2362459897994995
37.75,112.75,0.18018199503421783
37.75,113.25,0.20953799784183502
37.75,113.75,0.20660299062728882
37.75,114.25,0.22368299961090088
37.75,114.75,0.2745789885520935
37.75,115.25,0.2539539933204651
37.75,115.75,0.24135199189186096
37.75,116.25,0.241907998919487
37.75,116.75,0.24046199023723602
37.75,117.25,0.23933999240398407
37.75,117.75,0.2103709876537323
37.75,118.25,0.18380199372768402
37.75,118.75,0.1317252516746521
37.75,119.25,0.01449090801179409
37.75,119.75,
37.25,80.25,0.10457699745893478
37.25,80.75,0.07147599756717682
37.25,81.25,0.07709100097417831
37.25,81.75,0.06871800124645233
37.25,82.25,0.06108199805021286
37.25,82.75,0.08054099977016449
37.25,83.25,0.060311999171972275
37.25,83.75,0.04803399741649628
37.25,84.25,0.05187799781560898
37.25,84.75,0.06072700023651123
37.25,85.25,0.06618199497461319
37.25,85.75,0.04112900048494339
37.25,86.25,0.043747998774051666
37.25,86.75,0.061111997812986374
37.25,87.25,0.05558899790048599
37.25,87.75,0.05071999877691269
37.25,88.25,0.03514900058507919
37.25,88.75,0.05905599892139435
37.25,89.25,0.06080399826169014
37.25,89.75,0.05969199910759926
37.25,90.25,0.06567499786615372
37.25,90.75,0.08354099839925766
37.25,91.25,0.08532299846410751
37.25,91.75,0.0743279978632927
37.25,92.25,0.05476599931716919
37.25,92.75,0.07498999685049057
37.25,93.25,0.0875759944319725
37.25,93.75,0.0570329986512661
37.25,94.25,0.05139400064945221
37.25,94.75,0.05406999960541725
37.25,95.25,0.0496629998087883
37.25,95.75,0.06009199842810631
37.25,96.25,0.07408999651670456
37.25,96.75,0.0783040001988411
37.25,97.25,0.09360899776220322
37.25,97.75,0.09817499667406082
37.25,98.25,0.11640200018882751
37.25,98.75,0.152443990111351
37.25,99.25,0.18830199539661407
